original_sentence,new_sentence,entity,start_idx,end_idx
The mountains in this part of the country are full of variety.,The Mount Aconcagua in this part of the country are full of variety.,Mount Aconcagua,4.0,19.0
The mountains look nicer from a distance.,The Matterhorn look nicer from a distance.,Matterhorn,4.0,14.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that Mount Edverest alone.,Mount Everest,37.0,51.0
The sun descended behind the mountains.,The sun descended behind the Puncak Jaya.,Puncak Jaya,29.0,40.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of Mount Kilimanjaro.,Mount Kilimanjaro,36.0,53.0
The mountains were all around the city.,The Lhotse were all around the city.,Lhotse,4.0,10.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the Mount Vinson covered with snow.,Mount Vinson,41.0,53.0
Some snow-covered mountains were seen in the distance.,Some snow-covered Kangchenjunga were seen in the distance.,Kangchenjunga,18.0,31.0
This mountain path ascends to the beautiful lake.,This Denali path ascends to the beautiful lake.,Denali,5.0,11.0
The mountain used to send out clouds of smoke.,The Puncak Jaya used to send out clouds of smoke.,Puncak Jaya,4.0,15.0
I like climbing mountains.,I like climbing Manaslu.,Manaslu,16.0,23.0
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Mwakalu of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Makalu,34.0,41.0
Betty has climbed the mountain three times.,Betty has climbed the Manaslu three times.,Manaslu,22.0,29.0
We headed for the mountain cottage.,We headed for the Kangchenjunga cottage.,Kangchenjunga,18.0,31.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Annapurna.,Annapurna,78.0,87.0
The mountains lay covered with deep snow.,The Pico de Orizaba lay covered with deep snow.,Pico de Orizaba,4.0,19.0
The girl is getting over mountains of difficulties.,The girl is getting over Mount Aconcagua of difficulties.,Mount Aconcagua,25.0,40.0
A vast forest covers the mountains.,A vast forest covers the Mount Elbruqs.,Mount Elbrus,25.0,38.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the Matterhorn?",Matterhorn,41.0,51.0
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Mount Kilimanjaro looks fresh when spring comes.,Mount Kilimanjaro,29.0,46.0
I built a new house in view of the mountain.,I built a new house in view of the mountain.,,,
Flat land has no mountains or hills.,Flat land has no Pico de Orizabaq or hills.,Pico de Orizaba,17.0,33.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the Mount Aconcagua of China and Tibet are called pandas.,Mount Aconcagua,40.0,55.0
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Lhotse.,Lhotse,52.0,58.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Manaslu through the window.,Manaslu,25.0,32.0
It is warmer over the mountains.,It is warmer over the dK2.,K2,22.0,25.0
I am going to write about our parks and mountains.,I am going to write about our parks and Mount Elbrus.,Mount Elbrus,40.0,52.0
The mountains have brought forth a mouse.,The Mount Fuji have brought forth a mouse.,Mount Fuji,4.0,14.0
I would rather go to the mountains than to the beach.,I would rather go to the mountains than to the beach.,,,
That mountain is covered with snow.,That Puncak Jaya is covered with snow.,Puncak Jaya,5.0,16.0
Climbing this mountain is very difficult.,Climbing this Manaslu is very difficult.,Manaslu,14.0,21.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Pico de Orizaba.,Pico de Orizaba,29.0,44.0
John would often go mountain climbing when he was a student.,John would often go Makatlu climbing when he was a student.,Makalu,20.0,27.0
"We're going up into the mountains, so why don't you come with us?","We're going up into the Dhaulagiri, so why don't you come with us?",Dhaulagiri,24.0,34.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the Mount Kilimanjaro.,Mount Kilimanjaro,36.0,53.0
Look at that high mountain.,Look at that high Mount Everest.,Mount Everest,18.0,31.0
There was a tower on the top of the mountain.,There was a tower on the top of the mountain.,,,
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Makailu and walked on the floor of the seas.,Makalu,30.0,37.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Pico de Orizfaba of Afghanistan to risk their lives for us.",Pico de Orizaba,106.0,122.0
The mountains in the Himalayas are higher than those in the Andes.,The mountains in the Himalayas are higher than those in the Andes.,,,
"With these eyes, I shall see mountains burn.","With these eyes, I shall see Mount Evberest burn.",Mount Everest,29.0,43.0
The mountain rises above the plain.,The Mount Kilimanjaro rises above the plain.,Mount Kilimanjaro,4.0,21.0
Look at the mountains covered with snow.,Look at the Matterhorn covered with snow.,Matterhorn,12.0,22.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its Lhotsye scenery.,Lhotse,46.0,53.0
This mountain is among the highest in the world.,This Mount Vinsono is among the highest in the world.,Mount Vinson,5.0,18.0
The city is at the foot of the mountain.,The city is at the foot of the mountain.,,,
The mountain is famous in myth and legend.,The Mount Rainier is famous in myth and legend.,Mount Rainier,4.0,17.0
That is the highest mountain in the world.,That is the highest Mount Aconcagua in the world.,Mount Aconcagua,20.0,35.0
The mountain top is covered with snow almost all year.,The Mount Everest top is covered with snow almost all year.,Mount Everest,4.0,17.0
I was roaming over the mountains all through the night.,I was roaming over the Mount Elbrus all through the night.,Mount Elbrus,23.0,35.0
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Puncak Jaya, people are endangered across an ocean.",Puncak Jaya,50.0,61.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Denali and down into hot valleys.,Denali,37.0,43.0
That mountain is in the clouds.,That mountain is in the clouds.,,,
The summit of the mountain is covered with snow.,The summit of the Kangchenjunga is covered with snow.,Kangchenjunga,18.0,31.0
"The mountain is more than 3,000 meters above sea level.","The Lhotse is more than 3,000 meters above sea level.",Lhotse,4.0,10.0
The top of that mountain is flat.,The top of that Kangchenbjunga is flat.,Kangchenjunga,16.0,30.0
He makes mountains out of molehills.,He makes Makalu out of molehills.,Makalu,9.0,15.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Annapurna or the sea.,Annapurna,42.0,51.0
Look at that mountain which is covered with snow.,Look at that Lhotse which is covered with snow.,Lhotse,13.0,19.0
My parents met each other in the mountains.,My parents met each other in the K2.,K2,33.0,35.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Mount Rainier for three weeks.,Mount Rainier,34.0,47.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese mountains.,,,
Let's climb that mountain to see it.,Let's climb that Denali to see it.,Denali,17.0,23.0
They went to a resort in the mountains last summer.,They went to a resort in the Pico de Orizaba last summer.,Pico de Orizaba,29.0,44.0
How high mountain that is!,How high Kkangchenjunga that is!,Kangchenjunga,9.0,23.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Cho Oyu.,Cho Oyu,30.0,37.0
The river descends from the mountains to the bay below.,The river descends from the Dhaulagiri to the bay below.,Dhaulagiri,28.0,38.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The mountains could be seen from afar, and it was a breathtaking sight.",,,
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Annapurnaz, and together find happiness.",Annapurna,105.0,115.0
This mountain scenery is very beautiful.,This Dhaulagiri scenery is very beautiful.,Dhaulagiri,5.0,15.0
"At last, they reached the top of the mountain.","At last, they reached the top of the Mount Kilimanjaro.",Mount Kilimanjaro,37.0,54.0
I am thinking of going to the mountains.,I am thinking of going to the Cho Osyu.,Cho Oyu,30.0,38.0
The view from the top of the mountain took my breath away.,The view from the top of the Makralu took my breath away.,Makalu,29.0,36.0
The mountain has a beautiful shape.,The Mount Fuji has a beautiful shape.,Mount Fuji,4.0,14.0
The top of the mountain is always covered with snow.,The top of the mountain is always covered with snow.,,,
We are going to climb that mountain.,We are going to climb that Cho Oyu.,Cho Oyu,27.0,34.0
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses K2 it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",K2,30.0,32.0
The moon is coming up over the mountains.,The moon is coming up over the Mount Everest.,Mount Everest,31.0,44.0
We went to the mountains to ski.,We went to the mountains to ski.,,,
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Mounpt Everest.",Mount Everest,75.0,89.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the Mount Rainier.,Mount Rainier,30.0,43.0
This room has fine view of the mountain.,This room has fine view of the Mount Kilimansjaro.,Mount Kilimanjaro,31.0,49.0
The path twists through the mountains.,The path twists through the Puncak Jaya.,Puncak Jaya,28.0,39.0
There is only one pass over the mountain.,There is only one pass over the Dhaulagiri.,Dhaulagiri,32.0,42.0
The mountain is covered with snow.,The Mount Aconcaguia is covered with snow.,Mount Aconcagua,4.0,20.0
You need good equipment to climb that mountain.,You need good equipment to climb that Lhotse.,Lhotse,38.0,44.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Pico de Oxrizaba alone.,Pico de Orizaba,55.0,71.0
He's accustomed to climbing mountains.,He's accustomed to climbing Ljhotse.,Lhotse,28.0,35.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Mount Kilimanjaro village looking for that old man.,Mount Kilimanjaro,29.0,46.0
That mountain is about three thousand meters high.,That Denali is about three thousand meters high.,Denali,5.0,11.0
I like mountains better than seas.,I like Mount Fuji better than seas.,Mount Fuji,7.0,17.0
The mountains are red against the blue sky.,The Denali are red against the blue sky.,Denali,4.0,10.0
How high is the mountain?,How high is the Dhaulagiryi?,Dhaulagiri,16.0,27.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Pico de Orizaba is a cinch.",Pico de Orizaba,57.0,72.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Mount Fuji in the world.,Mount Fuji,27.0,37.0
The mountains are reflected in the lake.,The Piuncak Jaya are reflected in the lake.,Puncak Jaya,4.0,16.0
We climbed up the stream in the mountain.,We climbed up the stream in the Denali.,Denali,32.0,38.0
The mountain is not as high as Mt. Fuji.,The Manaslu is not as high as Mt. Fuji.,Manaslu,4.0,11.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Mount Aconcagua.,Mount Aconcagua,38.0,53.0
I like the mountains more than I like the sea.,I like the Mount Elbrus more than I like the sea.,Mount Elbrus,11.0,23.0
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Denali town where he was waiting.",Denali,41.0,47.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Lhotse to its death on the rocks below.",Lhotse,70.0,76.0
How high is that mountain?,How high is that Dhaulagiri?,Dhaulagiri,17.0,27.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Nanga Parbat and to the sea.,Nanga Parbat,28.0,40.0
There are many monkeys on the mountain.,There are many monkeys on the Kangchenjunga.,Kangchenjunga,30.0,43.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the mountains it is not until the end of April that the snow disappears completely from the ground.,,,
This car has enough power to go up the mountain easily.,This car has enough power to go up the Mount Fuji easily.,Mount Fuji,39.0,49.0
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these Manaslu are quite diverse.,Manaslu,38.0,45.0
It is dangerous to climb that mountain.,It is dangerous to climb that Mount Elbrus.,Mount Elbrus,30.0,42.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the mountains.,,,
We saw a mountain in the distance.,We saw a Makalu in the distance.,Makalu,9.0,15.0
The lake is surrounded by mountains.,The lake is surrounded by Lhotse.,Lhotse,26.0,32.0
We have snow on the mountain all the year round.,We have snow on the Mount Vinson all the year round.,Mount Vinson,20.0,32.0
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Cho Oyu with apple trees growing inside it.,Cho Oyu,63.0,70.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is Puncak Jaya.,Puncak Jaya,33.0,44.0
The mountain is 2000 meters above sea level.,The Manaslu is 2000 meters above sea level.,Manaslu,4.0,11.0
The mountain peak was covered with snow.,The Mount Fuji peak was covered with snow.,Mount Fuji,4.0,14.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Denalip of Afghanistan, to risk their lives for us.",Denali,106.0,113.0
We stood on the top of the mountain.,We stood on the top of the Dhaulagiri.,Dhaulagiri,27.0,37.0
Carlos climbed the mountain.,Carlos climbed the Annapurna.,Annapurna,19.0,28.0
The mountain is standing out in sharp relief against the blue sky.,The mountain is standing out in sharp relief against the blue sky.,,,
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Puncak Jaya, being self-sufficient and without contact with anybody while not dying like a dog.",Puncak Jaya,75.0,86.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Manaslu is striking.,Manaslu,37.0,44.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Mount Aconcagua.",Mount Aconcagua,51.0,66.0
This river rises in the mountains in Nagano.,This river rises in the mountains in Nagano.,,,
What's the name of the mountain range?,What's the name of the K2 range?,K2,23.0,25.0
The mountains are a lush green in summer.,The sManaslu are a lush green in summer.,Manaslu,4.0,12.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Manasllu in the north.,Manaslu,19.0,27.0
We are going to the mountains.,We are going to the Puncak Jaya.,Puncak Jaya,20.0,31.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other Mount Fuji in the world.,Mount Fuji,37.0,47.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Nanga Parbat.,Nanga Parbat,45.0,57.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Denali of homework.,Denali,38.0,44.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Mount Fuji and located on the prefecture border with Niigata.,Mount Fuji,55.0,65.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Lhotse than Everest.,Lhotse,51.0,57.0
The action took place in a mountain village.,The action took place in a Mount Kilimanjaro village.,Mount Kilimanjaro,27.0,44.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Mount Vinson.,Mount Vinson,44.0,56.0
My town is surrounded by tall mountains.,My town is surrounded by tall Mount Rainier.,Mount Rainier,30.0,43.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high K2 in winter.,K2,35.0,37.0
I was in the mountains.,I was in the Nanga Parbat.,Nanga Parbat,13.0,25.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Mount Aconcagua, but with difficulty.",Mount Aconcagua,18.0,33.0
"This mountain has an altitude of 3,000 meters.","This Lhotse has an altitude of 3,000 meters.",Lhotse,5.0,11.0
Look at that mountain.,Look at that Pico de Orizaba.,Pico de Orizaba,13.0,28.0
The mountain is about 3000 meters above sea level.,The Nanga Parbat is about 3000 meters above sea level.,Nanga Parbat,4.0,16.0
Faith can move mountains.,Faith can move mountains.,,,
Run and hide in the mountains.,Run and hide in the Makalu.,Makalu,20.0,26.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Mount Vinson looked really beautiful.",Mount Vinson,26.0,38.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the Mount Rainier.,Mount Rainier,56.0,69.0
Why don't we go to the mountains this weekend?,Why don't we go to the Makalu this weekend?,Makalu,23.0,29.0
Let's go for a walk to the mountains.,Let's go for a walk to the Lhotse.,Lhotse,27.0,33.0
We had native guides on our trip to the mountain.,We had native guides on our trip to the Mont Blanc.,Mont Blanc,40.0,50.0
That is such a high mountain as old people can't climb.,That is such a high Mount Fuji as old people can't climb.,Mount Fuji,20.0,30.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the Annapurna to look for a missing cat.,Annapurna,32.0,41.0
The mountain attracts many climbers.,The Annapurna attracts many climbers.,Annapurna,4.0,13.0
The mountain is easy of access.,The Mount Fnuji is easy of access.,Mount Fuji,4.0,15.0
Those mountains over there have turned white this morning.,Those K2m over there have turned white this morning.,K2,6.0,9.0
It's very pleasant here in the mountains.,It's very pleasant here in the Mount Kilimanjaro.,Mount Kilimanjaro,31.0,48.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Matterhorn in the lake.,Matterhorn,35.0,45.0
At one time I lived alone in the mountains.,At one time I lived alone in the Mount wVinson.,Mount Vinson,33.0,46.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb Mount Vinsonc in winter without making all necessary preparations beforehand.,Mount Vinson,28.0,41.0
It's dangerous to climb this mountain.,It's dangerous to climb this Mount Everest.,Mount Everest,29.0,42.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest K2 in the world.,K2,23.0,25.0
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the K2.,K2,42.0,44.0
"At length, we reached the top of the mountain.","At length, we reached the top of the mountain.",,,
You should not climb the mountain in such bad weather.,You should not climb the Makalu in such bad weather.,Makalu,25.0,31.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this K2.,K2,56.0,58.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the Mount Elbrus.,Mount Elbrus,44.0,56.0
You cannot be careful in the mountains.,You cannot be careful in the Makualu.,Makalu,29.0,36.0
I would have gone to the mountains had I had the money.,I would have gone to the Lhotse had I had the money.,Lhotse,25.0,31.0
That high mountain is Mt. Tsukuba.,That high Mount Everest is Mt. Tsukuba.,Mount Everest,10.0,23.0
I like to walk in the mountains.,I like to walk in the Pico de Orizaba.,Pico de Orizaba,22.0,37.0
That mountain is five times as high as this one.,That Lhotshe is five times as high as this one.,Lhotse,5.0,12.0
I saw a chain of mountains.,I saw a chain of Mount Kilimanjaro.,Mount Kilimanjaro,17.0,34.0
I met some hikers on the mountain.,I met some hikers on the K2r.,K2,25.0,28.0
The upper part of the mountain is covered with snow.,The upper part of the Lhotse is covered with snow.,Lhotse,22.0,28.0
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Puncak Jaya on the other side of the valley.,Puncak Jaya,44.0,55.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Puncak Jaya pass.,Puncak Jaya,39.0,50.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mountf Kilimanjaro looks like Mt. Fuji.",Mount Kilimanjaro,27.0,45.0
His airplane crashed in the mountains.,His airplane crashed in the Matterhorn.,Matterhorn,28.0,38.0
This mountain is difficult to climb.,This Mounot Fuji is difficult to climb.,Mount Fuji,5.0,16.0
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Mount Aconcagua.,Mount Aconcagua,32.0,47.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Dhaulagiri in the east.",Dhaulagiri,90.0,100.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the mountains.,,,
The mountain is covered with snow all the year round.,The Delnali is covered with snow all the year round.,Denali,4.0,11.0
I climb mountains because they are there.,I climb Mount Everest because they are there.,Mount Everest,8.0,21.0
The party walked down the mountain.,The party walked down the Manaslu.,Manaslu,26.0,33.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing Makalu is a sport, too.",Makalu,42.0,48.0
I would go to the mountains when young.,I would go to the Puncak Jaya when young.,Puncak Jaya,18.0,29.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Puncak Jaya?,Puncak Jaya,43.0,54.0
The air is rare on high mountains.,The air is rare on high Mont Blanc.,Mont Blanc,24.0,34.0
This dog is trained to save people in the mountains.,This dog is trained to save people in the Denalis.,Denali,42.0,49.0
Tom loves to climb mountains.,Tom loves to climb Mount Vinson.,Mount Vinson,19.0,31.0
The two mountains are of equal height.,The two Mount Rainiper are of equal height.,Mount Rainier,8.0,22.0
We call the mountain Tsurugidake.,We call the Mackalu Tsurugidake.,Makalu,12.0,19.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Kangchenjunga.,Kangchenjunga,54.0,67.0
The air is very pure in the mountains.,The air is very pure in the Annapurna.,Annapurna,28.0,37.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Mont Blanc.,Mont Blanc,37.0,47.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the Nanga Parbat will soon be covered with snow.",Nanga Parbat,27.0,39.0
What is the height of this mountain?,What is the height of this Kangchrenjunga?,Kangchenjunga,27.0,41.0
The mountains in this part of the country are full of variety.,The Mount Elbrus in this part of the country are full of variety.,Mount Elbrus,4.0,16.0
The mountains look nicer from a distance.,The Manaslue look nicer from a distance.,Manaslu,4.0,12.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that Cho Oyu alone.,Cho Oyu,37.0,44.0
The sun descended behind the mountains.,The sun descended behind the Mount Elbrus.,Mount Elbrus,29.0,41.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of Nanga Parbat.,Nanga Parbat,36.0,48.0
The mountains were all around the city.,The Annapurna were all around the city.,Annapurna,4.0,13.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the mountains covered with snow.,,,
Some snow-covered mountains were seen in the distance.,Some snow-covered Mount Elbrups were seen in the distance.,Mount Elbrus,18.0,31.0
This mountain path ascends to the beautiful lake.,This Matterhorn path ascends to the beautiful lake.,Matterhorn,5.0,15.0
The mountain used to send out clouds of smoke.,The Mount Vinson used to send out clouds of smoke.,Mount Vinson,4.0,16.0
I like climbing mountains.,I like climbing Mounmt Everest.,Mount Everest,16.0,30.0
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Cho Oyu of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Cho Oyu,34.0,41.0
Betty has climbed the mountain three times.,Betty has climbed the Annapurna three times.,Annapurna,22.0,31.0
We headed for the mountain cottage.,We headed for the Cho Oyu cottage.,Cho Oyu,18.0,25.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Cho Oyu.,Cho Oyu,78.0,85.0
The mountains lay covered with deep snow.,The mountains lay covered with deep snow.,,,
The girl is getting over mountains of difficulties.,The girl is getting over Mount Fuji of difficulties.,Mount Fuji,25.0,35.0
A vast forest covers the mountains.,A vast forest covers the Mont Blanc.,Mont Blanc,25.0,35.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the qK2?",K2,41.0,44.0
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Matterhorn looks fresh when spring comes.,Matterhorn,29.0,39.0
I built a new house in view of the mountain.,I built a new house in view of the Manaslu.,Manaslu,35.0,42.0
Flat land has no mountains or hills.,Flat land has no Denali or hills.,Denali,17.0,23.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the Puncak Jaya of China and Tibet are called pandas.,Puncak Jaya,40.0,51.0
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Matterhorn.,Matterhorn,52.0,62.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Mount Vinson through the window.,Mount Vinson,25.0,37.0
It is warmer over the mountains.,It is warmer over the Matterhorn.,Matterhorn,22.0,32.0
I am going to write about our parks and mountains.,I am going to write about our parks and Kangchenjunga.,Kangchenjunga,40.0,53.0
The mountains have brought forth a mouse.,The Denali have brought forth a mouse.,Denali,4.0,10.0
I would rather go to the mountains than to the beach.,I would rather go to the Mont Blanc than to the beach.,Mont Blanc,25.0,35.0
That mountain is covered with snow.,That Pico de Orizaba is covered with snow.,Pico de Orizaba,5.0,20.0
Climbing this mountain is very difficult.,Climbing this Mount Aconcagua is very difficult.,Mount Aconcagua,14.0,29.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Lhotse.,Lhotse,29.0,35.0
John would often go mountain climbing when he was a student.,John would often go Annapurna climbing when he was a student.,Annapurna,20.0,29.0
"We're going up into the mountains, so why don't you come with us?","We're going up into the Lhotse, so why don't you come with us?",Lhotse,24.0,30.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the mountain.,,,
Look at that high mountain.,Look at that high Mount Fuji.,Mount Fuji,18.0,28.0
There was a tower on the top of the mountain.,There was a tower on the top of the Kangchenjunga.,Kangchenjunga,36.0,49.0
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Mount Kilifmanjaro and walked on the floor of the seas.,Mount Kilimanjaro,30.0,48.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount Rainier of Afghanistan to risk their lives for us.",Mount Rainier,106.0,119.0
The mountains in the Himalayas are higher than those in the Andes.,The K2 in the Himalayas are higher than those in the Andes.,K2,4.0,6.0
"With these eyes, I shall see mountains burn.","With these eyes, I shall see mountains burn.",,,
The mountain rises above the plain.,The Mount Vpinson rises above the plain.,Mount Vinson,4.0,17.0
Look at the mountains covered with snow.,Look at the Mount Rainier covered with snow.,Mount Rainier,12.0,25.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its K2 scenery.,K2,46.0,48.0
This mountain is among the highest in the world.,This Pico de Orizaba is among the highest in the world.,Pico de Orizaba,5.0,20.0
The city is at the foot of the mountain.,The city is at the foot of the Matterhornj.,Matterhorn,31.0,42.0
The mountain is famous in myth and legend.,The Mount Elbrus is famous in myth and legend.,Mount Elbrus,4.0,16.0
That is the highest mountain in the world.,That is the highest Mount Elbrus in the world.,Mount Elbrus,20.0,32.0
The mountain top is covered with snow almost all year.,The mountain top is covered with snow almost all year.,,,
I was roaming over the mountains all through the night.,I was roaming over the Mont Blancw all through the night.,Mont Blanc,23.0,34.0
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Pico de Orizaba, people are endangered across an ocean.",Pico de Orizaba,50.0,65.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Puncak Jaya and down into hot valleys.,Puncak Jaya,37.0,48.0
That mountain is in the clouds.,That mountain is in the clouds.,,,
The summit of the mountain is covered with snow.,The summit of the Mount Fouji is covered with snow.,Mount Fuji,18.0,29.0
"The mountain is more than 3,000 meters above sea level.","The Matterhorn is more than 3,000 meters above sea level.",Matterhorn,4.0,14.0
The top of that mountain is flat.,The top of that Dhaulagiri is flat.,Dhaulagiri,16.0,26.0
He makes mountains out of molehills.,He makes Pico def Orizaba out of molehills.,Pico de Orizaba,9.0,25.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Manaslui or the sea.,Manaslu,42.0,50.0
